DATE,USALORSGPNOSTSAM
2004-01-01,99.58521
2004-02-01,99.59766
2004-03-01,99.61032
2004-04-01,99.63208
2004-05-01,99.66861999999999
2004-06-01,99.72287
2004-07-01,99.79433
2004-08-01,99.88091
2004-09-01,99.97949
2004-10-01,100.0855
2004-11-01,100.1932
2004-12-01,100.2957
2005-01-01,100.3848
2005-02-01,100.4532
2005-03-01,100.49799999999999
2005-04-01,100.5254
2005-05-01,100.5456
2005-06-01,100.5677
2005-07-01,100.5967
2005-08-01,100.6355
2005-09-01,100.6872
2005-10-01,100.7564
2005-11-01,100.8459
2005-12-01,100.9514
2006-01-01,101.0555
2006-02-01,101.1368
2006-03-01,101.1797
2006-04-01,101.1859
2006-05-01,101.1659
2006-06-01,101.1349
2006-07-01,101.1088
2006-08-01,101.101
2006-09-01,101.1175
2006-10-01,101.152
2006-11-01,101.1939
2006-12-01,101.2348
2007-01-01,101.2754
2007-02-01,101.321
2007-03-01,101.3767
2007-04-01,101.4433
2007-05-01,101.51899999999999
2007-06-01,101.6001
2007-07-01,101.6819
2007-08-01,101.7579
2007-09-01,101.8205
2007-10-01,101.8609
2007-11-01,101.8725
2007-12-01,101.855
2008-01-01,101.8222
2008-02-01,101.7881
2008-03-01,101.7564
2008-04-01,101.7082
2008-05-01,101.6132
2008-06-01,101.4403
2008-07-01,101.1732
2008-08-01,100.8076
2008-09-01,100.3548
2008-10-01,99.85274
2008-11-01,99.34846
2008-12-01,98.88458
2009-01-01,98.48657
2009-02-01,98.16973
2009-03-01,97.94125
2009-04-01,97.79635999999999
2009-05-01,97.72743
2009-06-01,97.72681999999999
2009-07-01,97.78421
2009-08-01,97.8895
2009-09-01,98.03148
2009-10-01,98.19285
2009-11-01,98.35716
2009-12-01,98.51422
2010-01-01,98.6652
2010-02-01,98.8163
2010-03-01,98.97269
2010-04-01,99.13219000000001
2010-05-01,99.28815
2010-06-01,99.43205999999999
2010-07-01,99.55606999999999
2010-08-01,99.65253
2010-09-01,99.71471
2010-10-01,99.73933000000001
2010-11-01,99.72645
2010-12-01,99.68182
2011-01-01,99.62172
2011-02-01,99.56438
2011-03-01,99.52235
2011-04-01,99.49458
2011-05-01,99.47581
2011-06-01,99.46468
2011-07-01,99.47115
2011-08-01,99.5088
2011-09-01,99.58594000000001
2011-10-01,99.69413
2011-11-01,99.81706
2011-12-01,99.93684
2012-01-01,100.0392
2012-02-01,100.1129
2012-03-01,100.1509
2012-04-01,100.1525
2012-05-01,100.1203
2012-06-01,100.0601
2012-07-01,99.98201
2012-08-01,99.89824
2012-09-01,99.82144
2012-10-01,99.76359000000001
2012-11-01,99.73363
2012-12-01,99.73361
2013-01-01,99.75276
2013-02-01,99.77691999999999
2013-03-01,99.79646
2013-04-01,99.81368
2013-05-01,99.83587
2013-06-01,99.86842
2013-07-01,99.90746
2013-08-01,99.94359
2013-09-01,99.96486999999999
2013-10-01,99.96009000000001
2013-11-01,99.92342
2013-12-01,99.86076
2014-01-01,99.79823
2014-02-01,99.76767
2014-03-01,99.79205
2014-04-01,99.86874
2014-05-01,99.9819
2014-06-01,100.111
2014-07-01,100.2365
2014-08-01,100.3431
2014-09-01,100.4232
2014-10-01,100.4818
2014-11-01,100.5283
2014-12-01,100.5703
2015-01-01,100.60799999999999
2015-02-01,100.6372
2015-03-01,100.6521
2015-04-01,100.6494
2015-05-01,100.6266
2015-06-01,100.5831
2015-07-01,100.5211
2015-08-01,100.4446
2015-09-01,100.3589
2015-10-01,100.2721
2015-11-01,100.1919
2015-12-01,100.1231
2016-01-01,100.0642
2016-02-01,100.0118
2016-03-01,99.96378
2016-04-01,99.92219
2016-05-01,99.89066
2016-06-01,99.87118000000001
2016-07-01,99.86028
2016-08-01,99.85223
2016-09-01,99.84161
2016-10-01,99.82565
2016-11-01,99.80367
2016-12-01,99.77682
2017-01-01,99.7484
2017-02-01,99.72295
2017-03-01,99.70569
2017-04-01,99.70166
2017-05-01,99.71575
2017-06-01,99.75186
2017-07-01,99.8107
2017-08-01,99.89079
2017-09-01,99.98767
2017-10-01,100.0918
2017-11-01,100.1918
2017-12-01,100.2779
2018-01-01,100.345
2018-02-01,100.3908
2018-03-01,100.4152
2018-04-01,100.4212
2018-05-01,100.4124
2018-06-01,100.39
2018-07-01,100.3532
2018-08-01,100.3008
2018-09-01,100.2346
2018-10-01,100.1643
2018-11-01,100.1023
2018-12-01,100.0606
2019-01-01,100.0456
2019-02-01,100.0608
2019-03-01,100.1074
2019-04-01,100.1823
2019-05-01,100.28
2019-06-01,100.3932
2019-07-01,100.5106
2019-08-01,100.6207
2019-09-01,100.7152
2019-10-01,100.7929
2019-11-01,100.8547
2019-12-01,100.9005
2020-01-01,100.9259
2020-02-01,100.9235
2020-03-01,95.57449
2020-04-01,93.23019000000001
2020-05-01,92.02608000000001
2020-06-01,93.91476999999999
2020-07-01,95.78439
2020-08-01,97.6311
2020-09-01,97.77526999999999
2020-10-01,97.92089
2020-11-01,98.07908
2020-12-01,98.35726
2021-01-01,98.65836
2021-02-01,98.94743000000001
2021-03-01,99.14842
2021-04-01,99.31895
2021-05-01,99.47010999999999
2021-06-01,99.64618
2021-07-01,99.83473000000001
2021-08-01,100.0251
2021-09-01,100.2008
2021-10-01,100.3323
2021-11-01,100.3886
2021-12-01,100.352
2022-01-01,100.2387
2022-02-01,100.0801
2022-03-01,99.91029
2022-04-01,99.7568
2022-05-01,99.63931
2022-06-01,99.56774
2022-07-01,99.53745
2022-08-01,99.53753
2022-09-01,99.55599000000001
2022-10-01,99.58266
2022-11-01,99.61045
2022-12-01,99.63593
2023-01-01,99.65987
2023-02-01,99.68629
2023-03-01,99.72163
2023-04-01,99.77378
2023-05-01,99.84943
2023-06-01,99.95033000000001
2023-07-01,100.0677
2023-08-01,100.1888
2023-09-01,100.3023
2023-10-01,100.4033
2023-11-01,100.4912
